,cluster_main_first_word,cluster_prelast_second_word,cluster_last_third_word,cosine_simil_first_sec,cosine_simil_sec_third,cosine_simil_first_third,min_cosine_sim,max_cosine_sim,joke_tokenized,id_joke
21,"a dirty , twisted , ragged piece of string",the string,i,tensor(0.4502),tensor(0.6169),tensor(0.5250),tensor(0.4502),tensor(0.6169),"[CLS] a piece of straight , clean string goes into a bar and orders a gin and tonic . the bar man serves the drink , the string downs it and walks out . ten minutes later a dirty , twisted , ragged piece of string walks into the bar . "" here - are you that piece of string that was here ten minutes ago ? "" asks the bar man - "" no "" replies the string "" i am a fray ed knot "" [SEP]",17
22,the bar man,the bar man,-,tensor(0.5575),0,0,0,0,"[CLS] a piece of straight , clean string goes into a bar and orders a gin and tonic . the bar man serves the drink , the string downs it and walks out . ten minutes later a dirty , twisted , ragged piece of string walks into the bar . "" here - are you that piece of string that was here ten minutes ago ? "" asks the bar man - "" no "" replies the string "" i am a fray ed knot "" [SEP]",17
23,the other,the second one,-,tensor(0.6455),0,0,0,0,"[CLS] there are these two sausage s si zzling in a fry ing pan . the one turns to the other and says "" gee s , it hot in here "" and the second one turns around and goes "" aaa ah ! , a talking sausage "" . [SEP]",18
24,the grape,it,it,tensor(0.2808),tensor(0.2977),tensor(0.5012),tensor(0.2808),tensor(0.5012),"[CLS] what did the grape say when the elephant tr od on it ? nothing , it just gave a little wine . [SEP]",19
25,a man,he,he,tensor(0.2019),tensor(0.1700),tensor(0.4057),tensor(0.1700),tensor(0.4057),"[CLS] a man walks into a bar and is about to order a drink when he notices van gogh playing the fruit machine . he calls over , "" hey , van gogh ! want a drink ? "" and van gogh replies , "" no thanks . i have got one ' er e . "" [SEP]",20
26,van gogh,van gogh,i,tensor(0.2941),tensor(0.2958),tensor(0.3134),tensor(0.2941),tensor(0.3134),"[CLS] a man walks into a bar and is about to order a drink when he notices van gogh playing the fruit machine . he calls over , "" hey , van gogh ! want a drink ? "" and van gogh replies , "" no thanks . i have got one ' er e . "" [SEP]",20
27,the other one,i,-,tensor(0.3615),0,0,0,0,"[CLS] there were two cows in a field . one said "" mo o "" , the other one said "" i was going to say that ! "" [SEP]",21
28,the landlord,he,his,tensor(0.3801),tensor(0.3186),tensor(0.5195),tensor(0.3186),tensor(0.5195),"[CLS] what did the landlord say as he threw shakespeare out of his pub ? "" you are bard ! "" [SEP]",22
29,shakespeare,you,-,tensor(0.1676),0,0,0,0,"[CLS] what did the landlord say as he threw shakespeare out of his pub ? "" you are bard ! "" [SEP]",22
30,a three legged dog,i,my,tensor(0.5061),tensor(0.3223),tensor(0.3251),tensor(0.3223),tensor(0.5061),"[CLS] a three legged dog walks into a saloon in the wild west , the bar man asks him what he wants . the dog replies "" i am looking for the man that shot my paw "" . [SEP]",23
31,two owls,the owls,-,tensor(0.6263),0,0,0,0,"[CLS] two owls are playing in the final of the owl pool championship . it comes down to the last frame . one of the owls is just about to play his shot , when his wing accidentally touches a ball . "" that two hits , "" says the other owl . "" two hits to who ? "" says the first . [SEP]",24
32,one of the owls,his,the first,tensor(0.4971),tensor(0.1864),tensor(0.2040),tensor(0.1864),tensor(0.4971),"[CLS] two owls are playing in the final of the owl pool championship . it comes down to the last frame . one of the owls is just about to play his shot , when his wing accidentally touches a ball . "" that two hits , "" says the other owl . "" two hits to who ? "" says the first . [SEP]",24
33,touches,that,-,tensor(0.4876),0,0,0,0,"[CLS] two owls are playing in the final of the owl pool championship . it comes down to the last frame . one of the owls is just about to play his shot , when his wing accidentally touches a ball . "" that two hits , "" says the other owl . "" two hits to who ? "" says the first . [SEP]",24
34,the bartender,he,the bartender,tensor(0.6392),tensor(0.3430),tensor(0.3981),tensor(0.3430),tensor(0.6392),"[CLS] an atom walks into a bar and asks the bartender if he seen his missing electron . "" are you sure she missing "" , asks the bartender . "" i am positive "" , replies the atom . [SEP]",25
35,an atom,i,the atom,tensor(0.2225),tensor(0.0021),tensor(0.1216),tensor(0.0021),tensor(0.2225),"[CLS] an atom walks into a bar and asks the bartender if he seen his missing electron . "" are you sure she missing "" , asks the bartender . "" i am positive "" , replies the atom . [SEP]",25
36,his missing electron,she,-,tensor(0.4563),0,0,0,0,"[CLS] an atom walks into a bar and asks the bartender if he seen his missing electron . "" are you sure she missing "" , asks the bartender . "" i am positive "" , replies the atom . [SEP]",25
37,i,my,patient,tensor(0.3903),tensor(0.3948),tensor(0.4029),tensor(0.3903),tensor(0.4029),"[CLS] patient : "" doctor i keep hearing "" the green , green grass of home "" in my head . doctor : "" that called the tom jones syndrome "" . patient : "" is it common ? "" doctor : "" it not unusual . [SEP]",26
38,doctor,doctor,doctor,tensor(0.3995),tensor(0.4151),tensor(0.2693),tensor(0.2693),tensor(0.4151),"[CLS] patient : "" doctor i keep hearing "" the green , green grass of home "" in my head . doctor : "" that called the tom jones syndrome "" . patient : "" is it common ? "" doctor : "" it not unusual . [SEP]",26
39,the tom jones syndrome,it,it,tensor(0.5217),tensor(0.4126),tensor(0.5189),tensor(0.4126),tensor(0.5217),"[CLS] patient : "" doctor i keep hearing "" the green , green grass of home "" in my head . doctor : "" that called the tom jones syndrome "" . patient : "" is it common ? "" doctor : "" it not unusual . [SEP]",26
40,a buddhist,me,-,tensor(0.2832),0,0,0,0,"[CLS] a buddhist walks up to a hot dog vendor and says "" make me one with everything . "" [SEP]",32
41,a mushroom,the mushroom,i,tensor(0.5512),tensor(0.3779),tensor(0.3479),tensor(0.3479),tensor(0.5512),"[CLS] a mushroom walks into a bar . the bartender says to the mushroom . "" hey we do not serve your kind here . "" the mushroom says "" why not i am a fun guy "" [SEP]",33
42,a bar,we,-,tensor(0.3883),0,0,0,0,"[CLS] a mushroom walks into a bar . the bartender says to the mushroom . "" hey we do not serve your kind here . "" the mushroom says "" why not i am a fun guy "" [SEP]",33
43,the mayo nna ise,i,-,tensor(0.4406),0,0,0,0,"[CLS] what did the mayo nna ise say to the refrigerator ? "" close the door ! can not you see i am dressing ? "" [SEP]",34
44,doctor,doctor,-,tensor(0.3603),0,0,0,0,"[CLS] patient : doctor , people keep ignoring me . doctor : next please . [SEP]",35
45,cain,his,he,tensor(0.3538),tensor(0.2343),tensor(0.3295),tensor(0.2343),tensor(0.3538),[CLS] how long did cain hate his brother ? as long as he was able . . . [SEP],37
46,"a gr ad student , a post - doc , and a professor",you,those guys,tensor(0.3586),tensor(0.3005),tensor(0.3935),tensor(0.3005),tensor(0.3935),"[CLS] a gr ad student , a post - doc , and a professor are walking through a city park and they find an antique oil lamp . they rub it and a genie comes out in a puff of smoke . the genie says : "" i usually only grant three wishes , so i will give each of you just one . "" "" me first ! me first ! "" says the gr ad student . "" i want to be in the bahamas , driving a speed boat with a gorgeous woman who sun bat hes top less . "" po of ! he gone . "" me next ! me next ! "" says the post - doc . "" i want to be in hawaii , relaxing on the beach with a professional hu la dancer on one side and a mai tai on the other . "" po of ! he gone . "" you are next , "" the genie says to the professor . the professor says : "" i want those guys back in the lab after lunch . "" [SEP]",38
47,an antique oil lamp,it,-,tensor(0.6163),0,0,0,0,"[CLS] a gr ad student , a post - doc , and a professor are walking through a city park and they find an antique oil lamp . they rub it and a genie comes out in a puff of smoke . the genie says : "" i usually only grant three wishes , so i will give each of you just one . "" "" me first ! me first ! "" says the gr ad student . "" i want to be in the bahamas , driving a speed boat with a gorgeous woman who sun bat hes top less . "" po of ! he gone . "" me next ! me next ! "" says the post - doc . "" i want to be in hawaii , relaxing on the beach with a professional hu la dancer on one side and a mai tai on the other . "" po of ! he gone . "" you are next , "" the genie says to the professor . the professor says : "" i want those guys back in the lab after lunch . "" [SEP]",38
48,a genie,i,the genie,tensor(0.4090),tensor(0.3499),tensor(0.3748),tensor(0.3499),tensor(0.4090),"[CLS] a gr ad student , a post - doc , and a professor are walking through a city park and they find an antique oil lamp . they rub it and a genie comes out in a puff of smoke . the genie says : "" i usually only grant three wishes , so i will give each of you just one . "" "" me first ! me first ! "" says the gr ad student . "" i want to be in the bahamas , driving a speed boat with a gorgeous woman who sun bat hes top less . "" po of ! he gone . "" me next ! me next ! "" says the post - doc . "" i want to be in hawaii , relaxing on the beach with a professional hu la dancer on one side and a mai tai on the other . "" po of ! he gone . "" you are next , "" the genie says to the professor . the professor says : "" i want those guys back in the lab after lunch . "" [SEP]",38
49,me,me,-,tensor(0.7765),0,0,0,0,"[CLS] a gr ad student , a post - doc , and a professor are walking through a city park and they find an antique oil lamp . they rub it and a genie comes out in a puff of smoke . the genie says : "" i usually only grant three wishes , so i will give each of you just one . "" "" me first ! me first ! "" says the gr ad student . "" i want to be in the bahamas , driving a speed boat with a gorgeous woman who sun bat hes top less . "" po of ! he gone . "" me next ! me next ! "" says the post - doc . "" i want to be in hawaii , relaxing on the beach with a professional hu la dancer on one side and a mai tai on the other . "" po of ! he gone . "" you are next , "" the genie says to the professor . the professor says : "" i want those guys back in the lab after lunch . "" [SEP]",38
50,a gr ad student,i,he,tensor(0.3984),tensor(0.2935),tensor(0.3241),tensor(0.2935),tensor(0.3984),"[CLS] a gr ad student , a post - doc , and a professor are walking through a city park and they find an antique oil lamp . they rub it and a genie comes out in a puff of smoke . the genie says : "" i usually only grant three wishes , so i will give each of you just one . "" "" me first ! me first ! "" says the gr ad student . "" i want to be in the bahamas , driving a speed boat with a gorgeous woman who sun bat hes top less . "" po of ! he gone . "" me next ! me next ! "" says the post - doc . "" i want to be in hawaii , relaxing on the beach with a professional hu la dancer on one side and a mai tai on the other . "" po of ! he gone . "" you are next , "" the genie says to the professor . the professor says : "" i want those guys back in the lab after lunch . "" [SEP]",38
51,me,me,-,tensor(0.4070),0,0,0,0,"[CLS] a gr ad student , a post - doc , and a professor are walking through a city park and they find an antique oil lamp . they rub it and a genie comes out in a puff of smoke . the genie says : "" i usually only grant three wishes , so i will give each of you just one . "" "" me first ! me first ! "" says the gr ad student . "" i want to be in the bahamas , driving a speed boat with a gorgeous woman who sun bat hes top less . "" po of ! he gone . "" me next ! me next ! "" says the post - doc . "" i want to be in hawaii , relaxing on the beach with a professional hu la dancer on one side and a mai tai on the other . "" po of ! he gone . "" you are next , "" the genie says to the professor . the professor says : "" i want those guys back in the lab after lunch . "" [SEP]",38
52,a post - doc,i,he,tensor(0.3430),tensor(0.2949),tensor(0.2909),tensor(0.2909),tensor(0.3430),"[CLS] a gr ad student , a post - doc , and a professor are walking through a city park and they find an antique oil lamp . they rub it and a genie comes out in a puff of smoke . the genie says : "" i usually only grant three wishes , so i will give each of you just one . "" "" me first ! me first ! "" says the gr ad student . "" i want to be in the bahamas , driving a speed boat with a gorgeous woman who sun bat hes top less . "" po of ! he gone . "" me next ! me next ! "" says the post - doc . "" i want to be in hawaii , relaxing on the beach with a professional hu la dancer on one side and a mai tai on the other . "" po of ! he gone . "" you are next , "" the genie says to the professor . the professor says : "" i want those guys back in the lab after lunch . "" [SEP]",38
53,a professor,the professor,i,tensor(0.3125),tensor(0.3041),tensor(0.3089),tensor(0.3041),tensor(0.3125),"[CLS] a gr ad student , a post - doc , and a professor are walking through a city park and they find an antique oil lamp . they rub it and a genie comes out in a puff of smoke . the genie says : "" i usually only grant three wishes , so i will give each of you just one . "" "" me first ! me first ! "" says the gr ad student . "" i want to be in the bahamas , driving a speed boat with a gorgeous woman who sun bat hes top less . "" po of ! he gone . "" me next ! me next ! "" says the post - doc . "" i want to be in hawaii , relaxing on the beach with a professional hu la dancer on one side and a mai tai on the other . "" po of ! he gone . "" you are next , "" the genie says to the professor . the professor says : "" i want those guys back in the lab after lunch . "" [SEP]",38
54,the teller,i,the teller,tensor(0.2765),tensor(0.3335),tensor(0.5802),tensor(0.2765),tensor(0.5802),"[CLS] a penguin walks into a store and asks the teller , "" do you have any grapes ? "" "" no . "" he replies . this same thing happens the next day . on the third day the teller replies , "" no , and if you come in asking for grapes again i will nail your flip pers to the floor ! "" on the next the penguin walks in and asks , "" got any nails ? "" no . "" replies the teller . "" got any grapes ! "" the penguin asks ! [SEP]",39
55,a penguin,the penguin,the penguin,tensor(0.7730),tensor(0.4393),tensor(0.4324),tensor(0.4324),tensor(0.7730),"[CLS] a penguin walks into a store and asks the teller , "" do you have any grapes ? "" "" no . "" he replies . this same thing happens the next day . on the third day the teller replies , "" no , and if you come in asking for grapes again i will nail your flip pers to the floor ! "" on the next the penguin walks in and asks , "" got any nails ? "" no . "" replies the teller . "" got any grapes ! "" the penguin asks ! [SEP]",39
56,that job,it,-,tensor(0.3142),0,0,0,0,"[CLS] i got that job down the bowling alley . "" what ten pin ? "" no it permanent . [SEP]",40
57,a man,his,you,tensor(0.3775),tensor(0.2938),tensor(0.4231),tensor(0.2938),tensor(0.4231),"[CLS] a man goes into the doctor with a penguin on his head . the doctor says "" what can i do for you ? "" and the penguin says "" well doc , it started as this growth on my foot "" … [SEP]",41
58,the doctor,i,doc,tensor(0.2832),tensor(0.2900),tensor(0.4434),tensor(0.2832),tensor(0.4434),"[CLS] a man goes into the doctor with a penguin on his head . the doctor says "" what can i do for you ? "" and the penguin says "" well doc , it started as this growth on my foot "" … [SEP]",41
59,a penguin,the penguin,my,tensor(0.5609),tensor(0.5430),tensor(0.3944),tensor(0.3944),tensor(0.5609),"[CLS] a man goes into the doctor with a penguin on his head . the doctor says "" what can i do for you ? "" and the penguin says "" well doc , it started as this growth on my foot "" … [SEP]",41
60,the doctor,doctor,the doctor,tensor(0.3953),tensor(0.1220),tensor(0.2693),tensor(0.1220),tensor(0.3953),"[CLS] a man goes to the doctor and says "" doctor , it hurts when i do this "" , and raises his arm . "" well , do not do it then "" , says the doctor . [SEP]",42
61,a man,i,his,tensor(0.4045),tensor(0.0935),tensor(0.1110),tensor(0.0935),tensor(0.4045),"[CLS] a man goes to the doctor and says "" doctor , it hurts when i do this "" , and raises his arm . "" well , do not do it then "" , says the doctor . [SEP]",42
62,this,it,-,tensor(0.2949),0,0,0,0,"[CLS] a man goes to the doctor and says "" doctor , it hurts when i do this "" , and raises his arm . "" well , do not do it then "" , says the doctor . [SEP]",42
63,the first one,i,i,tensor(0.5165),tensor(0.5653),tensor(0.4247),tensor(0.4247),tensor(0.5653),"[CLS] three vampires are sitting at a bar . bartender asks the first one what he wants . "" i think i will have a glass of blood . "" "" okay , what will you have ? "" he asks the second vampire . "" that sounds good . i will have a glass of blood too . "" "" and what can i get for you ? "" he asks the third vampire . "" i will have a glass of plasma "" said the third vampire . "" okay , "" said the bartender , "" that two blood s and a blood light , then . "" [SEP]",44
64,bartender,he,the bartender,tensor(0.8229),tensor(0.2743),tensor(0.2878),tensor(0.2743),tensor(0.8229),"[CLS] three vampires are sitting at a bar . bartender asks the first one what he wants . "" i think i will have a glass of blood . "" "" okay , what will you have ? "" he asks the second vampire . "" that sounds good . i will have a glass of blood too . "" "" and what can i get for you ? "" he asks the third vampire . "" i will have a glass of plasma "" said the third vampire . "" okay , "" said the bartender , "" that two blood s and a blood light , then . "" [SEP]",44
65,you,the second vampire,i,tensor(0.3589),tensor(0.4453),tensor(0.3230),tensor(0.3230),tensor(0.4453),"[CLS] three vampires are sitting at a bar . bartender asks the first one what he wants . "" i think i will have a glass of blood . "" "" okay , what will you have ? "" he asks the second vampire . "" that sounds good . i will have a glass of blood too . "" "" and what can i get for you ? "" he asks the third vampire . "" i will have a glass of plasma "" said the third vampire . "" okay , "" said the bartender , "" that two blood s and a blood light , then . "" [SEP]",44
66,you,i,the third vampire,tensor(0.3101),tensor(0.4195),tensor(0.4435),tensor(0.3101),tensor(0.4435),"[CLS] three vampires are sitting at a bar . bartender asks the first one what he wants . "" i think i will have a glass of blood . "" "" okay , what will you have ? "" he asks the second vampire . "" that sounds good . i will have a glass of blood too . "" "" and what can i get for you ? "" he asks the third vampire . "" i will have a glass of plasma "" said the third vampire . "" okay , "" said the bartender , "" that two blood s and a blood light , then . "" [SEP]",44
67,a polar bear,i,the bear,tensor(0.3820),tensor(0.3422),tensor(0.5564),tensor(0.3422),tensor(0.5564),"[CLS] a polar bear walks into a bar and the bar man says : "" what would you like to drink ? "" . the polar bear hangs his head and sighs deeply and then says : "" i will have a pin t of bitter , bar man "" . the bar man looks at the bear and says "" why the big paws ? "" [SEP]",45
68,the bar man,bar man,the bar man,tensor(0.3459),tensor(0.3396),tensor(0.7023),tensor(0.3396),tensor(0.7023),"[CLS] a polar bear walks into a bar and the bar man says : "" what would you like to drink ? "" . the polar bear hangs his head and sighs deeply and then says : "" i will have a pin t of bitter , bar man "" . the bar man looks at the bear and says "" why the big paws ? "" [SEP]",45
69,a man,his,the man,tensor(0.2047),tensor(0.2185),tensor(0.6044),tensor(0.2047),tensor(0.6044),"[CLS] a man goes to the vet about his dog flea s . the vet says "" i am sorry , i will have to put this dog down "" . the man is inc red ulous and asks why , and the vet says "" because he is far too heavy . "" [SEP]",47
70,the vet,i,the vet,tensor(0.2975),tensor(0.3131),tensor(0.4956),tensor(0.2975),tensor(0.4956),"[CLS] a man goes to the vet about his dog flea s . the vet says "" i am sorry , i will have to put this dog down "" . the man is inc red ulous and asks why , and the vet says "" because he is far too heavy . "" [SEP]",47
71,his dog flea s,this dog,he,tensor(0.4759),tensor(0.3741),tensor(0.3434),tensor(0.3434),tensor(0.4759),"[CLS] a man goes to the vet about his dog flea s . the vet says "" i am sorry , i will have to put this dog down "" . the man is inc red ulous and asks why , and the vet says "" because he is far too heavy . "" [SEP]",47
72,a guy,him,the guy,tensor(0.5475),tensor(0.3360),tensor(0.5971),tensor(0.3360),tensor(0.5971),"[CLS] a guy goes to the doctors and he says "" doctor , i am really worried about my brother , he thinks he a hen ! "" the doctor says "" well have you taken him to see a psychiatrist ? "" , and the guy says "" do not be stupid , we need the eggs ! "" [SEP]",49
73,my brother,he,he,tensor(0.7461),tensor(0.4073),tensor(0.3659),tensor(0.3659),tensor(0.7461),"[CLS] a guy goes to the doctors and he says "" doctor , i am really worried about my brother , he thinks he a hen ! "" the doctor says "" well have you taken him to see a psychiatrist ? "" , and the guy says "" do not be stupid , we need the eggs ! "" [SEP]",49
74,doctor,the doctor,-,tensor(0.5149),0,0,0,0,"[CLS] a guy goes to the doctors and he says "" doctor , i am really worried about my brother , he thinks he a hen ! "" the doctor says "" well have you taken him to see a psychiatrist ? "" , and the guy says "" do not be stupid , we need the eggs ! "" [SEP]",49
75,a group of chess enthusiasts,their,-,tensor(0.5383),0,0,0,0,[CLS] a group of chess enthusiasts were kicked out of a hotel reception for discussing their winning games . the manager can not stand chess nuts bo ast ing in an open foyer . [SEP],50
76,a brain,your,your,tensor(0.1535),tensor(0.1947),tensor(0.3231),tensor(0.1535),tensor(0.3231),"[CLS] a brain and a pair of jump lea ds walks into a bar . the brain orders two pin ts from the bar man but the bar man refuses to serve him . when asked why , the bar man replies "" well you are clearly out of your head , and your friend there looks as if he about to start something "" [SEP]",51
77,the bar man,the bar man,the bar man,tensor(0.7924),tensor(0.6687),tensor(0.6726),tensor(0.6687),tensor(0.7924),"[CLS] a brain and a pair of jump lea ds walks into a bar . the brain orders two pin ts from the bar man but the bar man refuses to serve him . when asked why , the bar man replies "" well you are clearly out of your head , and your friend there looks as if he about to start something "" [SEP]",51
78,your friend there,he,-,tensor(0.5219),0,0,0,0,"[CLS] a brain and a pair of jump lea ds walks into a bar . the brain orders two pin ts from the bar man but the bar man refuses to serve him . when asked why , the bar man replies "" well you are clearly out of your head , and your friend there looks as if he about to start something "" [SEP]",51
79,the police,they,-,tensor(0.5651),0,0,0,0,"[CLS] the police arrested two men , one for drinking battery acid and the other for eating fire crack ers . they charged one and let the other one off . [SEP]",52
80,one,one,-,tensor(0.4196),0,0,0,0,"[CLS] the police arrested two men , one for drinking battery acid and the other for eating fire crack ers . they charged one and let the other one off . [SEP]",52
81,the other,the other one,-,tensor(0.5186),0,0,0,0,"[CLS] the police arrested two men , one for drinking battery acid and the other for eating fire crack ers . they charged one and let the other one off . [SEP]",52
82,a man,me,you,tensor(0.3631),tensor(0.4605),tensor(0.3645),tensor(0.3631),tensor(0.4605),"[CLS] a man went to a horse breed er and said : “ i want that horse ” . the breed er said that horse ain t looking so good , but the man still wanted to buy it , so he did . the next day he came back with the horse and said : “ you sold me a blind horse ” . the breed er replied “ i told you that horse ain t looking so good ” [SEP]",53
83,a horse breed er,the breed er,i,tensor(0.7064),tensor(0.4860),tensor(0.3585),tensor(0.3585),tensor(0.7064),"[CLS] a man went to a horse breed er and said : “ i want that horse ” . the breed er said that horse ain t looking so good , but the man still wanted to buy it , so he did . the next day he came back with the horse and said : “ you sold me a blind horse ” . the breed er replied “ i told you that horse ain t looking so good ” [SEP]",53
84,that horse,it,the horse,tensor(0.4498),tensor(0.5051),tensor(0.4959),tensor(0.4498),tensor(0.5051),"[CLS] a man went to a horse breed er and said : “ i want that horse ” . the breed er said that horse ain t looking so good , but the man still wanted to buy it , so he did . the next day he came back with the horse and said : “ you sold me a blind horse ” . the breed er replied “ i told you that horse ain t looking so good ” [SEP]",53
