cluster_main_word,coref_word,cosine_simil,cluster_words_pos,joke,id_joke,semantic_shift_word,automatic_semantic_shift_joke,primechanye
sadie husband jake,he,tensor(0.2385),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,my,tensor(0.3526),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,me,tensor(0.3476),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,i,tensor(0.3158),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,me,tensor(0.3569),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,my,tensor(0.3813),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,i,tensor(0.2905),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,my,tensor(0.3068),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,me,tensor(0.2810),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,my,tensor(0.4501),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,my,tensor(0.1747),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
sadie husband jake,you,tensor(0.3529),"[[3, 5], [20, 20], [25, 25], [34, 34], [45, 45], [48, 48], [55, 55], [63, 63], [72, 72], [75, 75], [84, 84], [91, 91], [102, 102], [106, 106], [115, 115], [133, 133]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,yes,yes,"Проблема в предобработке - По-хорошему, это должно быть в другом кластере и связано с his faithful wife. (чтобы правильно распределилось, нужна доп предобработка?). Кроме того, конкретно в этой шутке, связь с семантическим сдвигом здесь косвенная (правильно выделена часть) - сдвиг  не в самом слове, а в связанном с ним выражении bad luck."
his faithful wife,her,tensor(0.4848),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,my sadie,tensor(0.4581),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,you,tensor(0.5244),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,you,tensor(0.4841),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,you,tensor(0.4779),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,you,tensor(0.5586),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,you,tensor(0.3370),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,you,tensor(0.4567),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,you,tensor(0.2255),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,sadie,tensor(0.2912),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,she,tensor(0.3776),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
his faithful wife,i,tensor(0.2978),"[[20, 22], [40, 40], [48, 49], [51, 51], [67, 67], [79, 79], [88, 88], [100, 100], [111, 111], [118, 118], [122, 122], [127, 127], [131, 131]]","[CLS] sadie husband jake has been slipping in and out of a coma for several months , yet his faithful wife stays by his bedside day and night . one night , jake comes to and motions for her to come closer . he says : my sadie , you have been with me through all the bad times . when i got fired , you were there to support me . when my business failed , you were there . when i got shot , you were by my side . when we lost the house , you gave me support . when my health started failing , you were still by my side . you know what , sadie ? what dear ? she asked gently . i think you are bad luck . [SEP]",3,no,yes,
a guy named clark,clark,tensor(0.4433),"[[11, 14], [16, 16], [18, 18], [23, 23], [31, 31], [34, 34], [55, 55], [67, 67], [90, 90]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,"проблема в предобработке.  Связь между парнем по имени кларк и суперменом не установилась, а сдвиг сильно на этом завязан."
a guy named clark,his,tensor(0.4543),"[[11, 14], [16, 16], [18, 18], [23, 23], [31, 31], [34, 34], [55, 55], [67, 67], [90, 90]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
a guy named clark,he,tensor(0.3797),"[[11, 14], [16, 16], [18, 18], [23, 23], [31, 31], [34, 34], [55, 55], [67, 67], [90, 90]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
a guy named clark,i,tensor(0.2343),"[[11, 14], [16, 16], [18, 18], [23, 23], [31, 31], [34, 34], [55, 55], [67, 67], [90, 90]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
a guy named clark,i,tensor(0.3266),"[[11, 14], [16, 16], [18, 18], [23, 23], [31, 31], [34, 34], [55, 55], [67, 67], [90, 90]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
a guy named clark,clark,tensor(0.3928),"[[11, 14], [16, 16], [18, 18], [23, 23], [31, 31], [34, 34], [55, 55], [67, 67], [90, 90]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
a guy named clark,clark,tensor(0.2996),"[[11, 14], [16, 16], [18, 18], [23, 23], [31, 31], [34, 34], [55, 55], [67, 67], [90, 90]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
a guy named clark,clark,tensor(0.4125),"[[11, 14], [16, 16], [18, 18], [23, 23], [31, 31], [34, 34], [55, 55], [67, 67], [90, 90]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
his usual,it,tensor(0.5725),"[[18, 19], [22, 22]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
bob,bob,tensor(0.4503),"[[3, 3], [27, 27], [33, 33], [47, 47], [64, 64], [78, 78], [83, 83]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
bob,you,tensor(0.3350),"[[3, 3], [27, 27], [33, 33], [47, 47], [64, 64], [78, 78], [83, 83]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
bob,bob,tensor(0.2713),"[[3, 3], [27, 27], [33, 33], [47, 47], [64, 64], [78, 78], [83, 83]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
bob,bob,tensor(0.3825),"[[3, 3], [27, 27], [33, 33], [47, 47], [64, 64], [78, 78], [83, 83]]",[CLS] bob is sitting in a bar next to a guy named clark . clark gets his usual and drains it he then turns to bob and says : i bet you i can jump of the roof and lo at to the ground . bob says okay go for it . so clark jumps and floats to the ground . so bob orders what clark just had and tries to jump and float . so he jumps and sp lat he hits the ground and dies . clark walks back in the bar and the bark ee p says you know superman you are really mean when your drunk ! [SEP],4,no,no,
